    交易日期    |    交易方向    |   股票代码    |   成交均价   |   成交数量   |   手续费   
---------------------------------------------------------------------------
[2020-04-14]  买入 (BUY)   | 600111.SH | ¥   9.16 |    10862 股 | ¥149.2439
[2020-04-14]  买入 (BUY)   | 300498.SZ | ¥  31.31 |     3197 股 | ¥150.1471
[2020-04-14]  买入 (BUY)   | 600690.SH | ¥  15.40 |     6431 股 | ¥148.5561
[2020-04-14]  买入 (BUY)   | 300033.SZ | ¥ 117.00 |      840 股 | ¥147.4200
[2020-04-14]  买入 (BUY)   | 601377.SH | ¥   6.12 |    16311 股 | ¥149.7350
[2020-04-14]  买入 (BUY)   | 601788.SH | ¥  11.39 |     8758 股 | ¥149.6304
[2020-04-14]  买入 (BUY)   | 600392.SH | ¥   7.21 |    13724 股 | ¥148.4251
[2020-04-14]  买入 (BUY)   | 000831.SZ | ¥  10.48 |     9521 股 | ¥149.6701
[2020-04-14]  买入 (BUY)   | 300364.SZ | ¥   3.73 |    26891 股 | ¥150.4551
[2020-04-14]  买入 (BUY)   | 300782.SZ | ¥ 466.78 |      216 股 | ¥151.2367
[2020-04-21]  卖出 (SELL)  | 600111.SH | ¥   9.01 |   -10862 股 | ¥146.7999
[2020-04-21]  卖出 (SELL)  | 300033.SZ | ¥ 117.11 |     -840 股 | ¥147.5586
[2020-04-21]  卖出 (SELL)  | 300782.SZ | ¥ 521.32 |     -216 股 | ¥168.9077
[2020-04-21]  卖出 (SELL)  | 300364.SZ | ¥   4.05 |   -26891 股 | ¥163.3628
[2020-04-21]  卖出 (SELL)  | 601788.SH | ¥  11.19 |    -8758 股 | ¥147.0030
[2020-04-21]  卖出 (SELL)  | 000831.SZ | ¥  10.20 |    -9521 股 | ¥145.6713
[2020-04-21]  卖出 (SELL)  | 600690.SH | ¥  14.87 |    -6431 股 | ¥143.4435
[2020-04-21]  卖出 (SELL)  | 600392.SH | ¥   7.09 |   -13724 股 | ¥145.9547
[2020-04-21]  卖出 (SELL)  | 601377.SH | ¥   6.10 |   -16311 股 | ¥149.2456
[2020-04-21]  卖出 (SELL)  | 300498.SZ | ¥  30.60 |    -3197 股 | ¥146.7423
[2020-04-21]  买入 (BUY)   | 603019.SH | ¥  47.36 |     2115 股 | ¥150.2496
[2020-04-21]  买入 (BUY)   | 002261.SZ | ¥   9.33 |    10635 股 | ¥148.8368
[2020-04-21]  买入 (BUY)   | 000762.SZ | ¥   6.97 |    14450 股 | ¥151.0747
[2020-04-21]  买入 (BUY)   | 000568.SZ | ¥  77.47 |     1290 股 | ¥149.9044
[2020-04-21]  买入 (BUY)   | 601166.SH | ¥  15.89 |     6322 股 | ¥150.6849
[2020-04-21]  买入 (BUY)   | 000858.SZ | ¥ 128.08 |      778 股 | ¥149.4694
[2020-04-21]  买入 (BUY)   | 600919.SH | ¥   5.89 |    17071 股 | ¥150.8223
[2020-04-21]  买入 (BUY)   | 600703.SH | ¥  20.94 |     4746 股 | ¥149.0719
[2020-04-21]  买入 (BUY)   | 601919.SH | ¥   3.76 |    27003 股 | ¥152.2969
[2020-04-21]  买入 (BUY)   | 000063.SZ | ¥  40.33 |     2474 股 | ¥149.6646
[2020-04-28]  卖出 (SELL)  | 000858.SZ | ¥ 136.00 |     -778 股 | ¥158.7120
[2020-04-28]  卖出 (SELL)  | 000568.SZ | ¥  79.10 |    -1290 股 | ¥153.0585
[2020-04-28]  卖出 (SELL)  | 601919.SH | ¥   3.64 |   -27003 股 | ¥147.4364
[2020-04-28]  卖出 (SELL)  | 601166.SH | ¥  16.07 |    -6322 股 | ¥152.3918
[2020-04-28]  卖出 (SELL)  | 600919.SH | ¥   5.81 |   -17071 股 | ¥148.7738
[2020-04-28]  卖出 (SELL)  | 000762.SZ | ¥   6.89 |     -325 股 | ¥3.3589
[2020-04-28]  买入 (BUY)   | 600276.SH | ¥  96.40 |     1008 股 | ¥145.7568
[2020-04-28]  买入 (BUY)   | 603019.SH | ¥  44.75 |       65 股 | ¥4.3631
[2020-04-28]  买入 (BUY)   | 601398.SH | ¥   5.09 |    19092 股 | ¥145.7674
[2020-04-28]  买入 (BUY)   | 601600.SH | ¥   2.84 |    34098 股 | ¥145.2575
[2020-04-28]  买入 (BUY)   | 002261.SZ | ¥   8.44 |      933 股 | ¥11.8118
[2020-04-28]  买入 (BUY)   | 601288.SH | ¥   3.41 |    28498 股 | ¥145.7673
[2020-04-28]  买入 (BUY)   | 600703.SH | ¥  19.80 |      159 股 | ¥4.7223
[2020-04-28]  买入 (BUY)   | 000063.SZ | ¥  38.63 |       27 股 | ¥1.5645
[2020-04-28]  买入 (BUY)   | 300498.SZ | ¥  30.50 |     3174 股 | ¥145.2105
[2020-05-08]  卖出 (SELL)  | 000063.SZ | ¥  42.69 |    -2501 股 | ¥160.1515
[2020-05-08]  卖出 (SELL)  | 600276.SH | ¥  96.96 |    -1008 股 | ¥146.6035
[2020-05-08]  卖出 (SELL)  | 603019.SH | ¥  39.20 |    -2180 股 | ¥128.1840
[2020-05-08]  卖出 (SELL)  | 600703.SH | ¥  23.50 |    -4905 股 | ¥172.9013
[2020-05-08]  卖出 (SELL)  | 601288.SH | ¥   3.42 |   -28498 股 | ¥146.1947
[2020-05-08]  卖出 (SELL)  | 601600.SH | ¥   2.83 |   -34098 股 | ¥144.7460
[2020-05-08]  卖出 (SELL)  | 300498.SZ | ¥  30.60 |    -3174 股 | ¥145.6866
[2020-05-08]  买入 (BUY)   | 000762.SZ | ¥   6.91 |      705 股 | ¥7.3073
[2020-05-08]  买入 (BUY)   | 601377.SH | ¥   6.03 |    17062 股 | ¥154.3258
[2020-05-08]  买入 (BUY)   | 002261.SZ | ¥   9.06 |       26 股 | ¥0.3533
[2020-05-08]  买入 (BUY)   | 300347.SZ | ¥  78.05 |     1312 股 | ¥153.6024
[2020-05-08]  买入 (BUY)   | 601857.SH | ¥   4.47 |    22928 股 | ¥153.7322
[2020-05-08]  买入 (BUY)   | 600050.SH | ¥   5.23 |    19583 股 | ¥153.6286
